year,softwood_lumber,hardwood_lumber,plywood,osb,nonstructural_panels,misc,paper
1,0.908,0.909,0.908,0.908,0.908,0.903,0.88
2,0.892,0.893,0.893,0.896,0.892,0.887,0.775
3,0.877,0.877,0.878,0.884,0.876,0.871,0.682
4,0.863,0.861,0.863,0.872,0.861,0.855,0.6
5,0.848,0.845,0.848,0.86,0.845,0.84,0.528
6,0.834,0.83,0.834,0.848,0.83,0.825,0.465
7,0.82,0.815,0.82,0.837,0.816,0.81,0.354
8,0.806,0.801,0.807,0.826,0.801,0.795,0.269
9,0.793,0.786,0.794,0.815,0.787,0.781,0.205
10,0.78,0.772,0.781,0.804,0.774,0.767,0.156
15,0.718,0.705,0.719,0.753,0.708,0.7,0.04
20,0.662,0.644,0.663,0.706,0.649,0.639,0.01
25,0.611,0.589,0.613,0.662,0.595,0.583,0.003
30,0.565,0.538,0.567,0.622,0.546,0.532,0.001
35,0.523,0.492,0.525,0.585,0.501,0.486,0
40,0.485,0.45,0.487,0.551,0.46,0.444,0
45,0.45,0.411,0.452,0.519,0.423,0.405,0
50,0.418,0.376,0.42,0.49,0.389,0.37,0
55,0.389,0.344,0.391,0.462,0.358,0.338,0
60,0.362,0.315,0.364,0.437,0.329,0.308,0
65,0.338,0.288,0.34,0.413,0.303,0.281,0
70,0.315,0.264,0.317,0.391,0.28,0.257,0
75,0.294,0.242,0.296,0.37,0.258,0.234,0
80,0.276,0.221,0.277,0.351,0.238,0.214,0
85,0.258,0.203,0.26,0.333,0.22,0.195,0
90,0.242,0.186,0.244,0.316,0.203,0.178,0
95,0.227,0.17,0.229,0.3,0.188,0.163,0
100,0.213,0.156,0.215,0.285,0.174,0.149,0
