year,product,prop_remaining,prop_emitted
1,softwood_lumber,0.908,0.092
1,hardwood_lumber,0.909,0.091
1,plywood,0.908,0.092
1,osb,0.908,0.092
1,nonstructural_panels,0.908,0.092
1,misc,0.903,0.097
1,paper,0.88,0.12
2,softwood_lumber,0.892,0.108
2,hardwood_lumber,0.893,0.107
2,plywood,0.893,0.107
2,osb,0.896,0.104
2,nonstructural_panels,0.892,0.108
2,misc,0.887,0.113
2,paper,0.775,0.225
3,softwood_lumber,0.877,0.123
3,hardwood_lumber,0.877,0.123
3,plywood,0.878,0.122
3,osb,0.884,0.116
3,nonstructural_panels,0.876,0.124
3,misc,0.871,0.129
3,paper,0.682,0.318
4,softwood_lumber,0.863,0.137
4,hardwood_lumber,0.861,0.139
4,plywood,0.863,0.137
4,osb,0.872,0.128
4,nonstructural_panels,0.861,0.139
4,misc,0.855,0.145
4,paper,0.6,0.4
5,softwood_lumber,0.848,0.152
5,hardwood_lumber,0.845,0.155
5,plywood,0.848,0.152
5,osb,0.86,0.14
5,nonstructural_panels,0.845,0.155
5,misc,0.84,0.16
5,paper,0.528,0.472
6,softwood_lumber,0.834,0.166
6,hardwood_lumber,0.83,0.17
6,plywood,0.834,0.166
6,osb,0.848,0.152
6,nonstructural_panels,0.83,0.17
6,misc,0.825,0.175
6,paper,0.465,0.535
7,softwood_lumber,0.82,0.18
7,hardwood_lumber,0.815,0.185
7,plywood,0.82,0.18
7,osb,0.837,0.163
7,nonstructural_panels,0.816,0.184
7,misc,0.81,0.19
7,paper,0.354,0.646
8,softwood_lumber,0.806,0.194
8,hardwood_lumber,0.801,0.199
8,plywood,0.807,0.193
8,osb,0.826,0.174
8,nonstructural_panels,0.801,0.199
8,misc,0.795,0.205
8,paper,0.269,0.731
9,softwood_lumber,0.793,0.207
9,hardwood_lumber,0.786,0.214
9,plywood,0.794,0.206
9,osb,0.815,0.185
9,nonstructural_panels,0.787,0.213
9,misc,0.781,0.219
9,paper,0.205,0.795
10,softwood_lumber,0.78,0.22
10,hardwood_lumber,0.772,0.228
10,plywood,0.781,0.219
10,osb,0.804,0.196
10,nonstructural_panels,0.774,0.226
10,misc,0.767,0.233
10,paper,0.156,0.844
15,softwood_lumber,0.718,0.282
15,hardwood_lumber,0.705,0.295
15,plywood,0.719,0.281
15,osb,0.753,0.247
15,nonstructural_panels,0.708,0.292
15,misc,0.7,0.3
15,paper,0.04,0.96
20,softwood_lumber,0.662,0.338
20,hardwood_lumber,0.644,0.356
20,plywood,0.663,0.337
20,osb,0.706,0.294
20,nonstructural_panels,0.649,0.351
20,misc,0.639,0.361
20,paper,0.01,0.99
25,softwood_lumber,0.611,0.389
25,hardwood_lumber,0.589,0.411
25,plywood,0.613,0.387
25,osb,0.662,0.338
25,nonstructural_panels,0.595,0.405
25,misc,0.583,0.417
25,paper,0.003,0.997
30,softwood_lumber,0.565,0.435
30,hardwood_lumber,0.538,0.462
30,plywood,0.567,0.433
30,osb,0.622,0.378
30,nonstructural_panels,0.546,0.454
30,misc,0.532,0.468
30,paper,0.001,0.999
35,softwood_lumber,0.523,0.477
35,hardwood_lumber,0.492,0.508
35,plywood,0.525,0.475
35,osb,0.585,0.415
35,nonstructural_panels,0.501,0.499
35,misc,0.486,0.514
35,paper,0,1
40,softwood_lumber,0.485,0.515
40,hardwood_lumber,0.45,0.55
40,plywood,0.487,0.513
40,osb,0.551,0.449
40,nonstructural_panels,0.46,0.54
40,misc,0.444,0.556
40,paper,0,1
45,softwood_lumber,0.45,0.55
45,hardwood_lumber,0.411,0.589
45,plywood,0.452,0.548
45,osb,0.519,0.481
45,nonstructural_panels,0.423,0.577
45,misc,0.405,0.595
45,paper,0,1
50,softwood_lumber,0.418,0.582
50,hardwood_lumber,0.376,0.624
50,plywood,0.42,0.58
50,osb,0.49,0.51
50,nonstructural_panels,0.389,0.611
50,misc,0.37,0.63
50,paper,0,1
55,softwood_lumber,0.389,0.611
55,hardwood_lumber,0.344,0.656
55,plywood,0.391,0.609
55,osb,0.462,0.538
55,nonstructural_panels,0.358,0.642
55,misc,0.338,0.662
55,paper,0,1
