supersection,product,mix_prop
Allegheny & North Cumberland Mountains,softwood_lumber,0.01622650185
Allegheny & North Cumberland Mountains,hardwood_lumber,0.30944421495
Allegheny & North Cumberland Mountains,plywood,6.99417e-05
Allegheny & North Cumberland Mountains,osb,0.05490594225
Allegheny & North Cumberland Mountains,nonstructural_panels,0.0206714106
Allegheny & North Cumberland Mountains,misc,0.01522098765
Allegheny & North Cumberland Mountains,paper,0.033461001
Allegheny & North Cumberland Mountains,slash,0.25
Allegheny & North Cumberland Mountains,residue,0.3
Andirondacks & Green Mountains,softwood_lumber,0.104516184495484
Andirondacks & Green Mountains,hardwood_lumber,0.105915569294084
Andirondacks & Green Mountains,plywood,0.00716490944283509
Andirondacks & Green Mountains,osb,0
Andirondacks & Green Mountains,nonstructural_panels,0.00497196044502804
Andirondacks & Green Mountains,misc,0.000698969249301031
Andirondacks & Green Mountains,paper,0.226732407073268
Andirondacks & Green Mountains,slash,0.25
Andirondacks & Green Mountains,residue,0.3
Arizona-Nevada Mountains,softwood_lumber,0.45
Arizona-Nevada Mountains,hardwood_lumber,0
Arizona-Nevada Mountains,plywood,0
Arizona-Nevada Mountains,osb,0
Arizona-Nevada Mountains,nonstructural_panels,0
Arizona-Nevada Mountains,misc,0
Arizona-Nevada Mountains,paper,0
Arizona-Nevada Mountains,slash,0.25
Arizona-Nevada Mountains,residue,0.3
Aroostook-Maine-New Brunswick Hills and Lowlands,softwood_lumber,0.18045518895
Aroostook-Maine-New Brunswick Hills and Lowlands,hardwood_lumber,0.04414655205
Aroostook-Maine-New Brunswick Hills and Lowlands,plywood,0
Aroostook-Maine-New Brunswick Hills and Lowlands,osb,0
Aroostook-Maine-New Brunswick Hills and Lowlands,nonstructural_panels,0
Aroostook-Maine-New Brunswick Hills and Lowlands,misc,0
Aroostook-Maine-New Brunswick Hills and Lowlands,paper,0.225398259
Aroostook-Maine-New Brunswick Hills and Lowlands,slash,0.25
Aroostook-Maine-New Brunswick Hills and Lowlands,residue,0.3
Atlantic Coastal Plain & Flatwoods,softwood_lumber,0.314945565029891
Atlantic Coastal Plain & Flatwoods,hardwood_lumber,0.0359079264718159
Atlantic Coastal Plain & Flatwoods,plywood,0.0311478732622957
Atlantic Coastal Plain & Flatwoods,osb,0.0121043650742087
Atlantic Coastal Plain & Flatwoods,nonstructural_panels,0.00835627141671254
Atlantic Coastal Plain & Flatwoods,misc,0.0204719211409438
Atlantic Coastal Plain & Flatwoods,paper,0.0270660776041322
Atlantic Coastal Plain & Flatwoods,slash,0.25
Atlantic Coastal Plain & Flatwoods,residue,0.3
Bitterroot Mountains,softwood_lumber,0.383742666554632
Bitterroot Mountains,hardwood_lumber,6.70315499396716e-06
Bitterroot Mountains,plywood,0.0453662662091704
Bitterroot Mountains,osb,0
Bitterroot Mountains,nonstructural_panels,0.000966792599129887
Bitterroot Mountains,misc,0.010892236940197
Bitterroot Mountains,paper,0.0090253345418772
Bitterroot Mountains,slash,0.25
Bitterroot Mountains,residue,0.3
Blue Mountains,softwood_lumber,0.348135893651864
Blue Mountains,hardwood_lumber,0.0010755985489244
Blue Mountains,plywood,0.0640876949359123
Blue Mountains,osb,0
Blue Mountains,nonstructural_panels,0.000194413049805587
Blue Mountains,misc,0.00183638519816361
Blue Mountains,paper,0.03467001461533
Blue Mountains,slash,0.25
Blue Mountains,residue,0.3
Blue Ridge Mountains,softwood_lumber,0.138625237211375
Blue Ridge Mountains,hardwood_lumber,0.239163872160836
Blue Ridge Mountains,plywood,0.00310334039689666
Blue Ridge Mountains,osb,0.0100981682899018
Blue Ridge Mountains,nonstructural_panels,0.0493897175506103
Blue Ridge Mountains,misc,0.00779192234220808
Blue Ridge Mountains,paper,0.00182774204817226
Blue Ridge Mountains,slash,0.25
Blue Ridge Mountains,residue,0.3
Booneville Basin,softwood_lumber,0.2913078888
Booneville Basin,hardwood_lumber,0.0683963334
Booneville Basin,plywood,0
Booneville Basin,osb,0
Booneville Basin,nonstructural_panels,0.0090295776
Booneville Basin,misc,0.0812662002
Booneville Basin,paper,0
Booneville Basin,slash,0.25
Booneville Basin,residue,0.3
California Central Valley Basin,softwood_lumber,0.439496946460503
California Central Valley Basin,hardwood_lumber,0
California Central Valley Basin,plywood,0.00662384654337615
California Central Valley Basin,osb,0
California Central Valley Basin,nonstructural_panels,0
California Central Valley Basin,misc,0.00139637294860363
California Central Valley Basin,paper,0.00248283404751717
California Central Valley Basin,slash,0.25
California Central Valley Basin,residue,0.3
Catskill Mountains,softwood_lumber,0.108205125408205
Catskill Mountains,hardwood_lumber,0.213926281413926
Catskill Mountains,plywood,0
Catskill Mountains,osb,0.0259376395759376
Catskill Mountains,nonstructural_panels,0.00436768425436769
Catskill Mountains,misc,0.000823249350823249
Catskill Mountains,paper,0.09674001999674
Catskill Mountains,slash,0.25
Catskill Mountains,residue,0.3
Central California Coast,softwood_lumber,0.436801863468959
Central California Coast,hardwood_lumber,9.689984997093e-06
Central California Coast,plywood,0.00843381764746986
Central California Coast,osb,0
Central California Coast,nonstructural_panels,0.00109947869967016
Central California Coast,misc,0.000426518099872045
Central California Coast,paper,0.00322863209903141
Central California Coast,slash,0.25
Central California Coast,residue,0.3
Central Great Plains,softwood_lumber,0.0853828334146172
Central Great Plains,hardwood_lumber,0.359267659290732
Central Great Plains,plywood,0
Central Great Plains,osb,0
Central Great Plains,nonstructural_panels,0
Central Great Plains,misc,0.00534950729465049
Central Great Plains,paper,0
Central Great Plains,slash,0.25
Central Great Plains,residue,0.3
Central Interior Broadleaf Forest Central Till Plains,softwood_lumber,0.000519643349480357
